prompt_id,image_path,prompt,color_score,spatial_score,count_score,relevance_score,overall_score
1,/data/coding/output/NewPrompts_Normal/prompt_001_normal.jpg,"6 violet purple mechanical birds nestled within 7 golden yellow water droplets in a volcanic landscape, hyperrealistic, cinematic lighting, 8K resolution",0.0,0.0,0.0,0.08333333333333333,0.020833333333333332
2,/data/coding/output/NewPrompts_Normal/prompt_002_normal.jpg,"6 ruby red glowing butterflies spiraling around 4 silver white water droplets in a cloud palace, hyperrealistic, cinematic lighting, 8K resolution",0.0,0.0,0.0,0.0,0.0
3,/data/coding/output/NewPrompts_Normal/prompt_003_normal.jpg,"4 azure blue metal spheres spiraling around 8 obsidian black wooden bridges in a volcanic landscape, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.0,0.0,0.0625
4,/data/coding/output/NewPrompts_Normal/prompt_004_normal.jpg,"9 pearl white glass pyramids piercing through 2 violet purple neon fish in a enchanted forest, hyperrealistic, cinematic lighting, 8K resolution",0.0,0.0,0.5,0.0,0.125
5,/data/coding/output/NewPrompts_Normal/prompt_005_normal.jpg,"5 sapphire blue fabric clouds cascading down from 4 rose pink crystal towers in a underwater realm, hyperrealistic, cinematic lighting, 8K resolution",0.0,0.0,0.5,0.0,0.125
6,/data/coding/output/NewPrompts_Normal/prompt_006_normal.jpg,"4 crimson red metal spheres emerging from 7 jade green golden flowers in a space station, hyperrealistic, cinematic lighting, 8K resolution",0.2,0.0,0.5,0.0,0.175
7,/data/coding/output/NewPrompts_Normal/prompt_007_normal.jpg,"4 sapphire blue metal spheres suspended between 8 coral pink crystal towers in a underwater realm, hyperrealistic, cinematic lighting, 8K resolution",0.0,0.3333333333333333,0.5,0.0,0.20833333333333331
8,/data/coding/output/NewPrompts_Normal/prompt_008_normal.jpg,"5 crimson red wooden bridges suspended between 9 azure blue water droplets in a ancient temple, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.0,0.0,0.0625
9,/data/coding/output/NewPrompts_Normal/prompt_009_normal.jpg,"6 crimson red fabric clouds weaving through 3 golden yellow neon fish in a desert oasis, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.0,0.0909090909090909,0.08522727272727272
10,/data/coding/output/NewPrompts_Normal/prompt_010_normal.jpg,"9 sapphire blue marble statues emerging from 4 azure blue mechanical birds in a frozen tundra, hyperrealistic, cinematic lighting, 8K resolution",0.3333333333333333,0.0,1.0,0.0,0.3333333333333333
11,/data/coding/output/NewPrompts_Normal/prompt_011_normal.jpg,"3 copper orange golden flowers piercing through 2 sapphire blue glass pyramids in a magical library, hyperrealistic, cinematic lighting, 8K resolution",0.2,0.0,1.0,0.027777777777777776,0.3069444444444444
12,/data/coding/output/NewPrompts_Normal/prompt_012_normal.jpg,"9 azure blue water droplets emerging from 3 violet purple crystal towers in a underwater realm, hyperrealistic, cinematic lighting, 8K resolution",0.0,0.0,0.5,0.0,0.125
13,/data/coding/output/NewPrompts_Normal/prompt_013_normal.jpg,"8 emerald green crystal towers floating above 5 copper orange water droplets in a desert oasis, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.0,0.0,0.0625
14,/data/coding/output/NewPrompts_Normal/prompt_014_normal.jpg,"4 azure blue metal spheres hovering beneath 2 rose pink silver dragons in a ancient temple, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.5,0.0,0.1875
15,/data/coding/output/NewPrompts_Normal/prompt_015_normal.jpg,"4 jade green glass pyramids cascading down from 5 sapphire blue neon fish in a enchanted forest, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.0,0.0,0.0625
16,/data/coding/output/NewPrompts_Normal/prompt_016_normal.jpg,"9 copper orange glass pyramids emerging from 4 obsidian black light beams in a crystal cave, hyperrealistic, cinematic lighting, 8K resolution",0.25,0.0,0.0,0.0,0.0625
